=== RELATÓRIO DETALHADO DE SIMULAÇÃO DE BLACKJACK ===

Configuração:
 - Capital inicial: R$ 250.00
 - Aposta fixa por rodada: R$ 50.00
 - Número de simulações por algoritmo: 100

Algoritmo 5: Tradicional
----------------------------------------
Jogo | Resultado | Rodadas
------------------------
  1    |       D   | 25
  2    |       V   | 44
  3    |       V   | 22
  4    |       D   | 16
  5    |       D   | 24
  6    |       V   |  7
  7    |       D   | 75
  8    |       D   | 44
  9    |       V   |  9
 10    |       D   |  7
 11    |       D   | 55
 12    |       D   | 19
 13    |       V   | 28
 14    |       D   |  5
 15    |       D   | 83
 16    |       V   | 33
 17    |       D   | 51
 18    |       D   | 15
 19    |       V   | 45
 20    |       D   | 62
 21    |       V   | 43
 22    |       D   | 26
 23    |       V   | 17
 24    |       D   | 14
 25    |       V   | 50
 26    |       D   | 17
 27    |       D   |  8
 28    |       D   | 69
 29    |       D   | 57
 30    |       V   | 12
 31    |       V   | 43
 32    |       D   | 49
 33    |       D   | 24
 34    |       D   | 24
 35    |       D   | 14
 36    |       D   |  6
 37    |       D   | 30
 38    |       D   | 17
 39    |       V   | 21
 40    |       D   |  7
 41    |       D   | 20
 42    |       D   | 12
 43    |       D   | 42
 44    |       D   |  9
 45    |       D   | 38
 46    |       V   | 23
 47    |       V   | 16
 48    |       D   | 22
 49    |       V   |  5
 50    |       V   | 16
 51    |       V   | 10
 52    |       D   | 25
 53    |       D   | 40
 54    |       D   | 29
 55    |       V   |  7
 56    |       V   | 27
 57    |       D   | 46
 58    |       D   | 31
 59    |       D   | 43
 60    |       D   | 22
 61    |       D   | 13
 62    |       D   | 14
 63    |       D   | 16
 64    |       V   | 18
 65    |       V   | 32
 66    |       V   | 14
 67    |       D   |  7
 68    |       D   |  9
 69    |       D   | 19
 70    |       V   | 55
 71    |       D   | 43
 72    |       V   | 15
 73    |       V   | 65
 74    |       D   | 25
 75    |       V   |  9
 76    |       D   | 14
 77    |       D   | 11
 78    |       D   | 14
 79    |       D   | 36
 80    |       D   |  5
 81    |       D   |  8
 82    |       D   | 12
 83    |       V   | 26
 84    |       V   |  7
 85    |       V   | 17
 86    |       D   | 13
 87    |       D   | 36
 88    |       D   | 26
 89    |       D   | 30
 90    |       D   | 46
 91    |       D   | 15
 92    |       D   | 52
 93    |       D   | 24
 94    |       D   | 44
 95    |       D   | 42
 96    |       D   |  7
 97    |       D   | 19
 98    |       V   | 10
 99    |       D   | 33
100    |       D   | 139

Estatísticas resumidas:
 - Vitórias: 31 (31.00%)
 - Derrotas: 69 (69.00%)
 - Média de rodadas por partida: 27.40

Algoritmo 6: Conservador
----------------------------------------
Jogo | Resultado | Rodadas
------------------------
  1    |       V   | 12
  2    |       D   | 25
  3    |       V   | 10
  4    |       D   | 30
  5    |       D   |  7
  6    |       V   | 21
  7    |       D   | 14
  8    |       D   | 23
  9    |       D   | 29
 10    |       D   | 47
 11    |       D   | 12
 12    |       V   | 57
 13    |       V   | 48
 14    |       D   | 18
 15    |       D   | 27
 16    |       D   | 11
 17    |       D   | 24
 18    |       V   |  8
 19    |       D   |  8
 20    |       D   | 25
 21    |       V   |  7
 22    |       D   | 28
 23    |       D   | 59
 24    |       D   |  8
 25    |       D   | 34
 26    |       D   | 73
 27    |       D   |  9
 28    |       V   | 64
 29    |       D   | 25
 30    |       D   |  8
 31    |       D   | 35
 32    |       D   | 28
 33    |       V   |  9
 34    |       D   | 55
 35    |       D   | 38
 36    |       D   | 18
 37    |       D   | 22
 38    |       V   | 53
 39    |       D   | 16
 40    |       V   | 67
 41    |       V   | 25
 42    |       D   | 43
 43    |       V   | 17
 44    |       D   | 14
 45    |       V   | 44
 46    |       D   | 33
 47    |       D   | 11
 48    |       D   | 17
 49    |       D   | 22
 50    |       D   | 40
 51    |       D   |  9
 52    |       D   |  9
 53    |       D   | 56
 54    |       D   |  5
 55    |       V   | 70
 56    |       V   | 49
 57    |       V   | 63
 58    |       V   | 18
 59    |       D   |  8
 60    |       V   | 10
 61    |       V   | 56
